Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
TinkersConstructRefactor,slimeknights.tconstruct.common.json,ConfigEnabledCondition,15,13,11,9,73,12,0,0,0.36363636363636365,11,5
TinkersConstructRefactor,slimeknights.tconstruct.common.json,ConfigSerializer,0,0,2,2,13,3,0,0,-1.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common.json,TinkerConditons,0,0,4,4,19,5,0,0,-1.0,1,3
TinkersConstructRefactor,slimeknights.tconstruct.common.multiblock,IMasterLogic,0,0,4,0,26,4,0,0,-1.0,2,1
TinkersConstructRefactor,slimeknights.tconstruct.common.multiblock,IServantLogic,0,0,5,0,29,5,1,0,-1.0,3,1
TinkersConstructRefactor,slimeknights.tconstruct.common.multiblock,ServantTileEntity,4,0,12,8,104,23,0,1,0.16666666666666666,0,2
TinkersConstructRefactor,slimeknights.tconstruct.common.network,InventorySlotSyncPacket,3,3,5,4,38,6,0,0,0.4,3,2
TinkersConstructRefactor,slimeknights.tconstruct.common.network,HandleClient,0,0,1,0,15,2,0,0,-1.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common.network,SyncPersistentDataPacket,1,0,4,3,26,5,0,0,0.5,3,2
TinkersConstructRefactor,slimeknights.tconstruct.common.network,HandleClient,0,0,1,0,11,2,0,0,-1.0,0,2
TinkersConstructRefactor,slimeknights.tconstruct.common.network,TinkerNetwork,1,0,8,7,109,15,0,0,0.875,33,27
TinkersConstructRefactor,slimeknights.tconstruct.common.network,UpdateNeighborsPacket,2,0,4,3,27,5,0,0,0.5,3,1
TinkersConstructRefactor,slimeknights.tconstruct.common.network,HandleClient,0,0,1,0,9,2,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.common.recipe,RecipeCacheInvalidator,4,0,9,9,74,12,0,0,0.4444444444444444,4,3
TinkersConstructRefactor,slimeknights.tconstruct.common.recipe,DuelSidedListener,2,0,3,3,30,5,0,0,0.0,4,0
TinkersConstructRefactor,slimeknights.tconstruct.common.registration,BlockDeferredRegisterExtension,1,0,6,6,56,8,0,0,0.5,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common.registration,CastItemObject,5,0,6,5,54,6,0,0,0.0,6,0
TinkersConstructRefactor,slimeknights.tconstruct.common.registration,GeodeItemObject,9,1,5,5,60,5,0,0,0.6,6,0
TinkersConstructRefactor,slimeknights.tconstruct.common.registration,ItemDeferredRegisterExtension,0,0,2,2,17,2,0,0,-1.0,1,0
TinkersConstructRefactor,slimeknights.tconstruct.datafix.schemas,HephaestusSchema,0,0,1,1,8,1,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.datafix.schemas,Tinkers3Schema,0,0,2,2,35,2,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct,FabricEvents,0,0,1,1,9,1,0,0,-1.0,1,5
TinkersConstructRefactor,slimeknights.tconstruct,StarSodiumFixer,1,0,1,1,16,3,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct,TConstruct,4,4,12,11,137,15,0,0,0.3333333333333333,131,17
TinkersConstructRefactor,slimeknights.tconstruct,TConstructData,0,0,2,2,18,2,0,0,-1.0,0,9
TinkersConstructRefactor,slimeknights.tconstruct.fluids,FluidClientEvents,0,0,3,1,24,3,0,0,-1.0,2,2
TinkersConstructRefactor,slimeknights.tconstruct.fluids,FluidEvents,0,0,1,1,8,1,0,0,-1.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.fluids,FluidTooltipProvider,0,0,3,2,26,3,0,0,-1.0,0,7
TinkersConstructRefactor,slimeknights.tconstruct.fluids,TinkerFluids,70,69,6,4,189,9,0,0,0.8333333333333334,29,8
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,DirectionalSlimeFluid,0,0,13,11,67,20,2,0,-1.0,1,2
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Flowing,0,0,6,5,22,6,0,1,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Source,0,0,5,5,17,5,0,1,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,PotionFluidAttributes,1,0,10,7,57,12,0,0,0.8,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Builder,0,0,1,0,8,1,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,SlimeFluid,0,0,9,7,55,16,2,0,-1.0,1,2
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Flowing,0,0,4,3,16,4,0,1,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Source,0,0,3,3,11,3,0,1,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,BottleItem,1,0,2,2,27,5,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,ContainerFoodItem,1,0,6,6,50,14,1,0,1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,FluidContainerFoodItem,1,0,1,1,8,1,0,1,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,EmptyPotionTransfer,2,2,3,2,24,4,0,0,1.0,1,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,PotionBucketItem,1,0,10,10,80,21,0,0,0.7,0,1
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,PotionBucketWrapper,0,0,2,2,8,2,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.util,BottleBrewingRecipe,2,0,3,3,28,7,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.fluids.util,ConstantFluidContainerWrapper,4,0,9,7,55,11,0,0,0.2222222222222222,0,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.block,DropperRailBlock,0,0,2,2,7,2,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.block,FoodCakeBlock,1,0,5,2,61,14,0,0,0.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.block,PunjiBlock,7,1,12,8,137,27,0,0,0.16666666666666666,1,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.block,UseContext,6,0,7,7,34,7,0,0,0.0,1,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.capability,PiggybackCapability,2,1,1,1,13,1,0,0,0.0,2,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.capability,PiggybackHandler,3,0,3,3,34,6,0,0,1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.client,FancyItemFrameRenderer,2,2,3,2,72,9,0,0,1.0,1,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.client,RenderShuriken,1,0,3,3,21,4,0,0,0.6666666666666666,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.data,GadgetRecipeProvider,0,0,6,3,76,7,0,0,-1.0,0,10
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity,EflnBallEntity,0,0,8,6,35,11,0,0,-1.0,1,3
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity,EFLNExplosion,1,0,5,4,83,20,0,0,1.0,2,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity,FancyItemFrameEntity,5,0,24,17,186,45,0,0,0.125,1,4
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity,GlowballEntity,0,0,8,6,44,13,0,0,-1.0,1,2
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity.shuriken,FlintShurikenEntity,0,0,5,4,17,5,0,1,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity.shuriken,QuartzShurikenEntity,0,0,5,4,17,5,0,1,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity.shuriken,ShurikenEntityBase,0,0,11,8,49,13,2,0,-1.0,2,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets,Exploder,17,6,8,3,167,32,0,0,0.0,2,3
TinkersConstructRefactor,slimeknights.tconstruct.gadgets,GadgetClientEvents,0,0,3,1,20,3,0,0,-1.0,2,3
TinkersConstructRefactor,slimeknights.tconstruct.gadgets,TinkerGadgets,25,16,3,3,39,3,0,0,1.0,19,2
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,EflnBallItem,0,0,3,3,24,5,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,FancyItemFrameItem,1,0,4,2,41,8,0,0,0.5,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,TriFunction,0,0,1,0,3,1,0,0,-1.0,1,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,GlowBallItem,0,0,3,3,24,5,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,PiggyBackPackItem,2,0,13,11,127,35,0,0,0.7692307692307693,0,6
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,CarryPotionEffect,1,0,6,6,45,12,0,0,1.0,0,4
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,ShurikenItem,1,0,3,3,27,5,0,0,0.6666666666666666,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,BaseSlimeSlingItem,1,0,9,7,56,10,4,0,0.7777777777777778,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,EarthSlimeSlingItem,0,0,2,2,28,5,0,1,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,EnderSlimeSlingItem,0,0,2,2,51,10,0,1,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,IchorSlimeSlingItem,0,0,2,2,20,3,0,1,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,SkySlimeSlingItem,1,0,3,3,40,7,0,1,0.6666666666666666,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,AbstractMaterialContent,8,2,19,6,270,49,3,0,0.10526315789473684,2,19
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentListingCentered,2,0,2,2,26,5,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentMaterial,1,1,5,2,34,8,0,1,0.6,1,6
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentMaterialSkull,5,1,9,4,85,15,0,1,0.4444444444444444,0,9
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentModifier,23,18,7,6,157,27,0,0,0.0,3,6
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentPageIconList,6,3,9,9,105,19,0,0,0.3333333333333333,2,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentTool,27,4,10,8,138,19,0,0,0.5,1,4
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,Fallback,2,0,3,2,17,3,0,0,0.6666666666666666,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,RangedMaterialContent,1,1,5,2,38,10,0,1,0.6,0,7
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,CycleRecipeElement,0,0,4,4,19,6,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,ListingCenteredElement,1,0,2,2,30,5,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,PageIconLinkElement,5,5,5,5,35,8,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,TinkerItemElement,1,1,9,9,39,11,0,0,1.0,2,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book,TinkerBook,6,6,3,2,75,3,0,0,0.6666666666666666,4,15
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,AbstractMaterialSectionTransformer,1,0,6,3,65,9,3,0,0.5,2,7
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,MaterialSectionTransformer,1,1,2,1,9,2,0,1,1.0,1,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,SkullMaterialSectionTransformer,0,0,3,1,14,3,0,1,-1.0,0,4
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,TieredMaterialSectionTransformer,2,0,2,1,22,5,0,1,0.0,0,5
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,TierRangeMaterialSectionTransformer,4,1,7,6,106,20,0,0,0.8571428571428571,2,12
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer,ModifierSectionTransformer,1,1,3,2,35,8,0,0,1.0,2,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer,ToolSectionTransformer,1,1,3,2,35,8,0,0,1.0,2,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data,AbstractFluidTooltipProvider,0,0,1,1,8,1,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data,GenericTextureGenerator,2,0,1,0,26,2,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data,TinkerSpriteSourceGenerator,1,0,2,1,28,2,0,0,0.0,0,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,AbstractMaterialRenderInfoProvider,8,0,10,6,87,14,0,0,0.2,0,6
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,RenderInfoBuilder,6,0,3,3,27,3,0,0,0.0,1,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,AbstractMaterialSpriteProvider,9,0,17,12,163,23,0,0,0.29411764705882354,3,12
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,MaterialSpriteInfo,2,0,3,3,32,5,0,0,0.0,2,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,MaterialSpriteInfoBuilder,5,0,7,6,72,9,0,0,0.0,0,9
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,AbstractPartSpriteProvider,10,0,30,15,251,35,0,0,0.06666666666666667,2,9
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,PartSpriteInfo,3,0,1,1,32,3,0,0,0.0,1,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,ToolSpriteBuilder,3,0,13,11,92,15,0,0,0.0,1,7
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,GeneratorPartTextureJsonGenerator,3,1,3,3,31,4,0,0,0.0,0,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,MaterialPartTextureGenerator,6,1,7,6,121,20,0,0,0.0,3,8
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,IPartTextureCallback,0,0,1,0,8,1,0,0,-1.0,1,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,GreyToColorMapping,8,2,17,14,229,34,0,1,0.4117647058823529,6,5
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,Deserializer,0,0,1,1,20,3,0,0,-1.0,3,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,Interpolate,0,0,1,0,13,1,0,0,-1.0,2,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,Builder,2,0,4,3,45,7,0,0,0.0,4,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,GreyToSpriteTransformer,16,2,18,12,276,43,0,1,0.1111111111111111,4,10
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,Deserializer,0,0,1,1,28,5,0,0,-1.0,0,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,Builder,2,0,6,5,57,9,0,0,0.6666666666666666,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,SpriteMapping,4,0,2,1,49,7,0,0,0.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,IColorMapping,1,0,1,0,15,1,1,0,-1.0,7,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,ISpriteTransformer,1,0,4,0,38,4,2,0,-1.0,9,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,RecolorSpriteTransformer,3,2,4,4,37,6,0,1,0.5,1,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.spritetransformer,Deserializer,0,0,1,1,10,1,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.util,AbstractSpriteReader,1,0,5,5,45,7,2,0,0.4,5,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.util,DataGenSpriteReader,2,0,2,2,22,2,0,1,0.0,1,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.util,ResourceManagerSpriteReader,2,0,3,2,19,3,0,1,0.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client,GuiUtil,0,0,12,11,218,20,0,0,-1.0,18,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client,Icons,9,0,0,0,11,0,0,0,-1.0,6,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client,RenderUtils,0,0,10,10,101,14,0,0,-1.0,20,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client,ResourceColorManager,2,2,4,4,37,4,0,0,1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client,TinkerRenderTypes,2,2,1,1,13,1,0,0,0.0,2,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.materials,MaterialRenderInfo,5,0,6,4,93,14,0,0,0.3333333333333333,4,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client.materials,MaterialRenderInfoJson,9,0,3,3,40,3,0,0,0.6666666666666666,2,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client.materials,MaterialGeneratorJson,3,0,2,2,26,2,0,0,0.0,5,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client.materials,MaterialRenderInfoLoader,4,3,7,5,108,17,0,0,0.5714285714285714,7,8
TinkersConstructRefactor,slimeknights.tconstruct.library.client.materials,MaterialTooltipCache,9,1,7,6,103,7,0,0,0.5714285714285714,10,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,CastingModel,3,1,4,2,39,4,0,0,0.5,2,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Baked,1,0,1,0,10,1,0,0,0.0,4,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Loader,0,0,1,1,11,1,0,0,-1.0,6,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,ChannelModel,4,1,10,9,94,10,0,0,0.2,2,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Baked,1,0,6,5,42,6,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Loader,0,0,1,1,20,1,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,FluidTextureModel,13,1,11,6,157,28,0,0,0.5454545454545454,1,7
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Baked,8,0,5,2,79,12,0,0,0.6,0,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Loader,0,0,1,1,17,3,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,RetexturedOverride,1,0,1,1,17,4,0,0,0.0,3,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,IncrementalFluidCuboid,1,0,4,3,116,15,0,0,0.5,5,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,MelterModel,2,1,5,3,52,7,0,1,0.8,3,4
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Baked,0,0,2,1,15,2,0,1,-1.0,0,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Loader,0,0,1,1,15,2,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,TableModel,5,1,4,3,37,4,0,0,0.5,2,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Baked,1,0,1,0,10,1,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Loader,0,0,1,1,11,1,0,0,-1.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,TankModel,12,2,15,10,185,29,2,0,0.26666666666666666,5,9
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,FluidPartOverride,1,1,1,1,20,4,0,0,0.0,3,4
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,BakedGuiUniqueModel,1,0,2,2,20,5,1,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Baked,4,0,9,4,102,14,0,1,0.4444444444444444,0,4
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.block,Loader,0,0,1,1,15,2,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model,DynamicTextureLoader,2,0,5,5,67,9,0,0,0.6,5,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model,ModelHelper,0,0,1,1,22,6,0,0,-1.0,4,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model,ModelProperties,1,1,0,0,3,0,0,0,-1.0,4,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model,TinkerItemProperties,10,0,3,3,104,3,0,0,0.6666666666666666,2,5
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.tools,MaterialModel,8,1,12,9,192,23,0,0,0.3333333333333333,7,9
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.tools,MaterialOverrideHandler,4,0,3,1,26,3,0,0,0.6666666666666666,1,3
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.tools,Loader,0,0,1,1,17,3,0,0,-1.0,2,2
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.tools,ToolModel,10,2,10,6,275,45,0,0,0.7,2,12
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.tools,MaterialOverrideHandler,8,0,4,2,77,11,0,0,0.0,0,9
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.tools,BakedLargeToolModel,6,0,9,8,47,10,0,0,0.6666666666666666,1,0
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.tools,BakedLargeToolGui,1,0,4,4,22,4,0,0,0.75,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.model.tools,Loader,0,0,2,1,41,7,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.library.client.modifiers,BreakableDyedModifierModel,2,1,4,3,51,7,0,1,0.75,1,5
TinkersConstructRefactor,slimeknights.tconstruct.library.client.modifiers,BreakableMaterialModifierModel,2,1,6,3,72,13,0,1,0.6666666666666666,2,11
